Date,SHIF1Y_Open,SHIF1Y_High,SHIF1Y_Low,SHIF1Y_Close,SHIF1Y_SMAVG (50)  on Close,SHIF1Y_SMAVG (100)  on Close,SHIF1Y_SMAVG (200)  on Close,SHIF3M_Open,SHIF3M_High,SHIF3M_Low,SHIF3M_Close,SHIF3M_SMAVG (50)  on Close,SHIF3M_SMAVG (100)  on Close,SHIF3M_SMAVG (200)  on Close
2016-01-25,3.259,3.259,3.259,3.259,3.3363,3.3661,3.5577,3.0415,3.0415,3.0415,3.0415,3.0488,3.0794,3.225
2016-01-26,3.2682,3.2682,3.2682,3.2682,3.3346,3.3648,3.5501,3.073,3.073,3.073,3.073,3.0495,3.0791,3.2164
2016-01-27,3.265,3.265,3.265,3.265,3.3329,3.3634,3.5426,3.104,3.104,3.104,3.104,3.0508,3.0791,3.208
2016-01-28,3.265,3.265,3.265,3.265,3.3312,3.3621,3.535,3.107,3.107,3.107,3.107,3.052,3.0792,3.1997
2016-01-29,3.265,3.265,3.265,3.265,3.3295,3.3607,3.5274,3.103,3.103,3.103,3.103,3.0532,3.0791,3.1914
2016-02-01,3.265,3.265,3.265,3.265,3.3278,3.3593,3.5199,3.082,3.082,3.082,3.082,3.054,3.079,3.1831
2016-02-02,3.265,3.265,3.265,3.265,3.3261,3.3579,3.5123,3.081,3.081,3.081,3.081,3.0547,3.0788,3.1749
2016-02-03,3.262,3.262,3.262,3.262,3.3243,3.3564,3.5048,3.071,3.071,3.071,3.071,3.0551,3.0786,3.1668
2016-02-04,3.253,3.253,3.253,3.253,3.3224,3.3548,3.4972,3.061,3.061,3.061,3.061,3.0553,3.0783,3.159
2016-02-05,3.25,3.25,3.25,3.25,3.3204,3.3532,3.4899,3.06,3.06,3.06,3.06,3.0555,3.0779,3.1519
2016-02-06,3.251,3.251,3.251,3.251,3.3184,3.3516,3.4826,3.058,3.058,3.058,3.058,3.0557,3.0775,3.1451
2016-02-14,3.251,3.251,3.251,3.251,3.3164,3.35,3.4756,3.0495,3.0495,3.0495,3.0495,3.0556,3.0768,3.1386
